Ticker,Underlying Asset Price,Trade Date,Trade Time,Strike,Last Price,Original BSP,Adjusted BSP,Bid,Ask,Volume,Open Interest,Implied Volatility,Adjusted Volatility
MMM,99.9000015258789,2023-06-02,15:32:54,55.0,47.5,47.11869857344963,45.11635565067197,44.3,45.9,76.0,82.0,2.5781285546875,1.410618469955332
MMM,99.9000015258789,2023-06-02,15:32:54,60.0,42.5,41.3977164064072,40.067063234977276,39.0,41.0,1.0,1.0,2.0156299609375,1.1028483611975748
MMM,99.9000015258789,2023-05-17,19:31:36,65.0,35.0,45.10028579725191,35.37690661557924,34.0,35.75,15.0,0.0,2.5869175952148433,0.7984034804474046
MMM,99.9000015258789,2023-05-17,19:56:01,70.0,30.25,34.59129234938472,30.425750848630784,29.2,30.9,3.0,1.0,1.5625021874999998,0.6947945224837677
MMM,99.9000015258789,2023-05-30,13:44:35,75.0,21.16,26.615760622792685,25.179216452533225,24.15,25.85,1.0,1.0,1.2148476757812499,0.6647017529531444
MMM,99.9000015258789,2023-05-17,18:57:26,80.0,19.9,23.432890357237945,20.235756701498374,19.2,20.85,42.0,0.0,1.01172369140625,0.19697622242981502
MMM,99.9000015258789,2023-06-09,19:06:32,85.0,14.7,15.716983886761824,15.020989199981983,14.85,15.75,17.0,7.0,0.992187578125,0.5428736750999688
MMM,99.9000015258789,2023-06-01,13:51:40,88.0,6.2,13.391653999378391,12.229998949243125,11.3,12.9,2.0,17.0,0.6992217578125001,0.38257794568529657
MMM,99.9000015258789,2023-06-02,19:57:08,89.0,13.6,12.469618946230582,11.250891025951077,10.35,12.0,2.0,10.0,0.6992217578125001,0.38257794568529657
MMM,99.9000015258789,2023-06-08,14:09:19,90.0,10.8,10.572713683421767,10.035354205935292,9.3,11.0,1.0,48.0,0.63086306640625,0.34517560882187304
MMM,99.9000015258789,2023-06-02,19:56:00,91.0,11.7,10.130758923084926,9.202361433906319,8.3,9.9,19.0,16.0,0.5488326367187502,0.3002928045857649
MMM,99.9000015258789,2023-06-06,17:20:06,92.0,6.65,8.935881190489653,8.122703977450186,7.35,9.1,1.0,12.0,0.5654340332031251,0.30276993791067264
MMM,99.9000015258789,2023-06-07,13:57:38,93.0,6.6,8.417264972438673,7.020930047615806,6.7,7.6,1.0,26.0,0.6562534375000001,0.17707148549543367
MMM,99.9000015258789,2023-06-09,19:58:41,94.0,6.35,7.599038509988588,6.004343298979705,5.5,7.05,2.0,370.0,0.727541787109375,0.20058972813286718
MMM,99.9000015258789,2023-06-09,15:38:40,95.0,4.9,5.804459753117783,5.118464067988171,5.1,5.45,9.0,400.0,0.47852083984375,0.26182182952624344
MMM,99.9000015258789,2023-06-09,19:46:29,96.0,4.18,4.845883529163885,4.048814929275039,4.15,4.5,49.0,3218.0,0.42969320312500003,0.18194461647726975
MMM,99.9000015258789,2023-06-09,15:49:34,97.0,4.3,4.064357018062722,3.029884091096392,3.4,3.7,6.0,153.0,0.4155331884765625,0.13127612294264276
MMM,99.9000015258789,2023-06-09,19:46:35,98.0,2.62,3.1916051662309926,2.386944544732529,2.72,2.84,77.0,258.0,0.37354142089843745,0.2043825264859859
MMM,99.9000015258789,2023-06-09,19:59:26,99.0,2.08,2.5033547530652385,1.4805674704163607,2.02,2.15,99.0,588.0,0.3579165771484375,0.16304399841162479
MMM,99.9000015258789,2023-06-09,19:59:20,100.0,1.52,1.9008855345208175,1.0397003394959512,1.45,1.56,375.0,8381.0,0.344733115234375,0.18862011309354315
MMM,99.9000015258789,2023-06-09,19:58:54,101.0,1.03,1.4100800370120155,0.5987071678218427,1.0,1.09,344.0,735.0,0.336920693359375,0.18434556030915192
MMM,99.9000015258789,2023-06-09,19:56:58,102.0,0.68,1.0021929654368051,0.30383824303096674,0.65,0.72,568.0,1729.0,0.3286199951171874,0.17980384797573615
MMM,99.9000015258789,2023-06-09,19:25:40,103.0,0.4,0.7385550866595629,0.15247913133820923,0.39,0.49,215.0,832.0,0.33350275878906255,0.18247544346598074
MMM,99.9000015258789,2023-06-09,19:40:55,104.0,0.22,0.6254227325304562,0.004946224758251905,0.22,0.39,140.0,1298.0,0.36035795898437495,0.11937714615080476
MMM,99.9000015258789,2023-06-09,19:59:31,105.0,0.14,0.3201018032213163,0.02165615894305173,0.14,0.17,284.0,4668.0,0.3232489550781249,0.17686509293646713
MMM,99.9000015258789,2023-06-09,19:57:31,106.0,0.09,0.24534767330842122,0.0007168096007257041,0.07,0.12,51.0,562.0,0.33789724609375,0.13958673886798226
MMM,99.9000015258789,2023-06-09,15:59:19,107.0,0.12,0.2519250010865548,1.5831924750331796e-10,0.0,0.12,116.0,481.0,0.3789124609375,0.08118460553931356
MMM,99.9000015258789,2023-06-09,18:08:56,108.0,0.05,0.2894958182623544,0.010581982754316654,0.01,0.14,105.0,1295.0,0.43164630859375,0.23617451281989593
MMM,99.9000015258789,2023-06-09,16:51:00,109.0,0.08,0.2626668706438924,0.007465148976221636,0.0,0.12,27.0,462.0,0.45703667968750006,0.25006680936916753
MMM,99.9000015258789,2023-06-09,19:07:30,110.0,0.02,0.19127483007142132,0.0032214605554974907,0.02,0.08,179.0,4187.0,0.45703667968750006,0.25006680936916753
MMM,99.9000015258789,2023-06-09,16:59:35,111.0,0.05,0.38477940705479163,0.0002058463226536321,0.0,0.37,4.0,172.0,0.5800823242187501,0.2170954741397785
MMM,99.9000015258789,2023-06-07,16:36:25,112.0,0.04,0.39810157761050036,0.013213790489754795,0.0,0.1,51.0,159.0,0.5468795312500001,0.29922416638966703
MMM,99.9000015258789,2023-06-09,17:26:24,115.0,0.03,0.09470641231820132,2.491540976641501e-10,0.0,0.06,7.0,1881.0,0.5390671093750001,0.16637292858336206
MMM,99.9000015258789,2023-06-09,19:50:48,120.0,0.01,0.04169428776154871,4.270604794369345e-13,0.0,0.02,13.0,1329.0,0.5937540625000001,0.1875800380523396
MMM,99.9000015258789,2023-06-08,19:37:53,125.0,0.01,0.09585911362884536,0.000166203293281722,0.0,0.03,5.0,1106.0,0.7421900781249999,0.40608798599944845
MMM,99.9000015258789,2023-06-07,14:26:27,130.0,0.02,0.2561264521204505,0.001459573903821898,0.0,0.07,3.0,745.0,0.9414068359375,0.5150890820014256
MMM,99.9000015258789,2023-06-08,17:56:18,135.0,0.02,0.4040750477656614,7.39032362574504e-05,0.0,0.2,10.0,729.0,1.2109414453124998,0.51148660803928
MMM,99.9000015258789,2023-06-08,17:56:45,140.0,0.02,0.4182009928749615,0.0031837921230588734,0.0,0.2,4.0,1280.0,1.3320345898437496,0.7288203653136779
MMM,99.9000015258789,2023-06-02,18:49:26,145.0,0.01,2.4725886754025463,0.0019281979407230615,0.0,0.5,21.0,1793.0,1.6640641796875002,0.5786155956551
MMM,99.9000015258789,2023-06-07,17:52:10,150.0,0.02,1.6983961409209432,0.0035572951551380294,0.0,0.9,1.0,555.0,1.9785157324218752,0.8205584752626328
MMM,99.9000015258789,2023-05-08,17:44:57,155.0,0.01,3.9827731102351507,0.3178467643882228,0.0,0.02,6.0,246.0,1.2812535937499998,0.7010356332907801
MMM,99.9000015258789,2023-06-06,13:34:08,160.0,0.01,0.20416897762493225,1.227179171414884e-10,0.0,0.02,1.0,669.0,1.3750031249999999,0.4447925251399176
MMM,99.9000015258789,2023-05-26,19:04:18,165.0,0.02,3.7168133576199534,0.011168236265992226,0.0,0.2,1.0,153.0,1.859375703125,0.7132159254494417
MMM,99.9000015258789,2023-04-14,15:22:06,170.0,0.01,10.177555884718508,1.5460371940265247,0.0,0.03,2.0,427.0,1.5937520312499998,0.8720185995855365
MMM,99.9000015258789,2023-04-04,13:42:59,175.0,0.01,12.425715919151614,2.1091475264811237,0.0,0.03,21.0,36.0,1.65625171875,0.906215192844488
MMM,99.9000015258789,2023-04-05,14:46:46,180.0,0.04,13.659127020677932,2.387229736268713,0.0,0.04,1.0,44.0,1.78125109375,0.9746083793623904
MMM,99.9000015258789,2023-01-24,15:13:22,185.0,0.14,32.89891656790215,10.17283194806322,0.0,0.11,8.0,13.0,2.0625048437499998,1.1284958702607213
MMM,99.9000015258789,2023-04-03,19:25:36,190.0,0.03,15.230366634519996,2.680071135078629,0.0,0.04,50.0,85.0,1.9218753906250001,1.051550714195031
MMM,99.9000015258789,2023-01-26,14:36:52,195.0,0.05,41.0169122333803,13.880153885233582,0.0,0.28,22.0,21.0,2.468753828125,1.3507742821413238
MMM,99.9000015258789,2023-06-08,14:18:03,200.0,0.01,3.0201733173750025,1.6656842533581515e-05,0.0,2.13,1.0,53.0,3.5058606103515624,1.045184829078989
MMM,99.9000015258789,2023-01-13,17:39:02,210.0,0.11,40.107018719096445,4.935047245436056,0.0,0.1,2.0,21.0,2.3906290234374996,0.93994423319293
MMM,99.9000015258789,2023-01-30,15:25:33,220.0,0.02,42.57859434513603,13.553956804693684,0.0,0.18,2.0,6.0,2.68750328125,1.4704626577693403
AOS,68.79000091552734,2023-05-12,14:18:40,50.0,18.4,25.586882185865953,20.735348166247896,18.5,20.1,,1.0,1.96875015625,1.0771981591392443
AOS,68.79000091552734,2023-05-22,17:07:56,60.0,8.88,11.558267084798366,8.999966022558368,8.4,9.8,1.0,5.0,0.9003916210937499,0.14529061636625007
AOS,68.79000091552734,2023-06-08,19:36:29,65.0,4.6,4.716978629404402,3.8649788037044743,3.8,4.8,4.0,14.0,0.579105771484375,0.149830260847524
AOS,68.79000091552734,2023-06-09,19:40:59,70.0,0.4,0.6254550660721137,0.19711957283341341,0.35,0.45,19.0,303.0,0.2880930566406249,0.15762960540670648
AOS,68.79000091552734,2023-06-07,14:56:52,75.0,0.1,0.5451846715556989,0.05082837050778988,0.0,0.2,7.0,135.0,0.5556685058593751,0.3040330382721072
